Grant reference,Identifier,Recipient Org:Name,Recipient Org:Identifier,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Description,Amount Awarded,Currency,Award Date,Award Year,How Paid,Description,Title,Funding Org:Identifier,Funding Org:Name,Beneficiary Location:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Last modified,Data Source
0002,360G-OxfordCC-2014-15-0002,Archway Foundation,GB-CHC-299533,299533,,Registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,875","Funding was awarded to support individuals in Oxford who feel isolated, lonely and marginalised through disabity, low income or heath problems.",Grant to Archway Foundation,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0003,360G-OxfordCC-2014-15-0003,Ark T Centre,GB-CHC-1079495,1079495,,Registered charity,4690,GBP,2014-02-12,2014/15,"2 , 6 monthly payments of œ2,345",Funding was awarded to work with up to 61 young people from various areas of the city to give them the opportuntiy to make their own music and perform at 7 music gigs throughout the year.,Grant to Ark T Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0004,360G-OxfordCC-2014-15-0004,Asylum Welcome,GB-CHC-1092265,1092265,,Registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,875",Funding was awarded to support refugees and asylum seekers in Oxford.,Grant to Asylum Welcome,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0005,360G-OxfordCC-2014-15-0005,Blackbird Leys Adventure Playground,GB-CHC-273172,273172,,Registered charity,10000,GBP,2014-02-12,2014/15,"4 quarterly payments of œ2,500",Funding was awarded to contribute towards the running of out of schools activities on Blackbird Leys,Grant to Blackbird Leys Adventure Playground,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0006,360G-OxfordCC-2014-15-0006,Blackbird Leys Community Developmetn Initiative,GB-CHC-1137129,1137129,,Registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,875",Funding was awarded for the Clockhouse Project - running activities for local residents over 50 years old,Grant to Blackbird Leys Community Developmetn Initiative,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0007,360G-OxfordCC-2014-15-0007,Cutteslowe Seniors,360G-OxfordCC-Cutteslowe-Seniors,,,Unregistered community group,1000,GBP,2014-02-12,2014/15,single payment,Funding awarded to support transport costs for the most vulnerable and access for disadvantaged individuals.,Grant to Cutteslowe Seniors,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0008,360G-OxfordCC-2014-15-0008,Donnington Doorstep Family Centre,GB-CHC-1144821,1144821,,Incorporated company and registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,700",Funding was awarded to contribute towards the 1-2-1 support for children and young people who have been identified as at risk of social exclusion or offending. œ700 was deducted from the grant to pay rent charges due to Oxford City Council for 2014/15.,Grant to Donnington Doorstep Family Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0009,360G-OxfordCC-2014-15-0009,Florence Park Community Association,GB-CHC-304301,304301,,Registered charity,2080,GBP,2014-02-12,2014/15,single payment,Funding was awarded to fund the costs of a part time coordinator to develop a weekly lunch and film club for older people living in the local area.,Grant to Florence Park Community Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0010,360G-OxfordCC-2014-15-0010,Innovista - Thrive Project,GB-CHC-1108679,1108679,,Registered charity,2892,GBP,2014-02-12,2014/15,single payment,Funding was awarded to work with up to 16 girls and young women on Barton who have a low self-esteem.,Grant to Innovista - Thrive Project,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0011,360G-OxfordCC-2014-15-0011,Leys News,GB-COH-03591512,,3591512,Social enterprise not for profit limited company,10000,GBP,2014-02-12,2014/15,"4 quarterly payments of œ2,500","Funding was awarded to support community newsletters across the city with editorial guidance, design, production and help with addressing the sustainability of their newsletters.",Grant to Leys News,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0012,360G-OxfordCC-2014-15-0012,My Life My Choice,GB-CHC-1073247,1073247,,Registered charity,2800,GBP,2014-02-12,2014/15,single payment,Funding was awarded to contribute towards an awareness campaign to make the public more aware of the challenges and reality of being a disabled person on benefits.,Grant to My Life My Choice,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0013,360G-OxfordCC-2014-15-0013,Open Door,GB-CHC-1150626,1150626,,Registered charity,3250,GBP,2014-02-12,2014/15,single payment,Funding was awarded to contribute towards a weely drop in session for adult refugees and asylum seekers.,Grant to Open Door,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0014,360G-OxfordCC-2014-15-0014,Oxford Friend,GB-CHC-299903,299903,,Registered charity,3000,GBP,2014-02-12,2014/15,single payment,"Funding was awarded to contribute towards the running of a confidential telephone helpline, advice, support and counselling to Oxfords gay, lesbian, bisexual community, their families and friends.",Grant to Oxford Friend,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0015,360G-OxfordCC-2014-15-0015,Oxford Urban Wildlife Group,GB-CHC-1101126,1101126,,Registered charity,2240,GBP,2014-02-12,2014/15,single payment,Funding was awarded to contribute towards general running costs of the Boundary Brook Nature Park.,Grant to Oxford Urban Wildlife Group,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0016,360G-OxfordCC-2014-15-0016,Oxfordshire Chinese Community & Advice Centre,GB-CHC-1006710,1006710,,Registered charity,1740,GBP,2014-02-12,2014/15,single payment,"Funding was awarded to provide healthy walks, seated exercise and cultural dance workshops for the elderly and vulnerable Chinese people.",Grant to Oxfordshire Chinese Community & Advice Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0017,360G-OxfordCC-2014-15-0017,Oxfordshire Play Association,GB-CHC-276706,276706,,Registered charity,1250,GBP,2014-02-12,2014/15,single payment,Funding was awarded to contribute towards an event planned to take place in Littlemore to celebrate National Paly Day.,Grant to Oxfordshire Play Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0018,360G-OxfordCC-2014-15-0018,Reducing the Risk of Domestic Abuse,GB-CHC-1108612,1108612,,Registered charity,1500,GBP,2014-02-12,2014/15,single payment,Funding was awarded for an emergency fund to support victims at high risk of significant physical abuse or emotional trauma or suicide,Grant to Reducing the Risk of Domestic Abuse,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0019,360G-OxfordCC-2014-15-0019,Restore,GB-CHC-2742222,2742222,,Registered charity,2258,GBP,2014-02-12,2014/15,single payment,Funding was awarded to contribute towards the costs of organising and planning the Elder Stubbs Festival due to take place in August 2014,Grant to Restore,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0020,360G-OxfordCC-2014-15-0020,Science Oxford,GB-CHC-292664,292664,,Registered charity,2000,GBP,2014-02-12,2014/15,single payment,Funding was awarded to contribute towards the costs of planning and organising the Oxford Festival of Nature due to take place at Cutteslowe & Sunnymead Park on 6th & 7th June 2014.,Grant to Science Oxford,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0021,360G-OxfordCC-2014-15-0021,South Oxford Adventure Playground,GB-CHC-270852,270852,,Registered charity,10000,GBP,2014-02-12,2014/15,"4 quarterly payments of œ2,500","Funding was awarded to contribute towards the general running costs to provide free supervised play at Easter, Spring, Summer and Autumn school holidays.",Grant to South Oxford Adventure Playground,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0022,360G-OxfordCC-2014-15-0022,Wood Farm Youth Club,360G-OxfordCC-Wood-Farm-Youth-Club,,,Unregistered community group,7000,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,750",Funding was awarded to a youth programme of activities for young people living on Wood Farm.,Grant to Wood Farm Youth Club,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0023,360G-OxfordCC-2016-17-0023,Donnington Doorstep Family Centre,GB-CHC-1144821,1144821,,Incorporated company and registered charity,7000,GBP,2015-02-11,2016/17,"3 single payments (œ4,000, œ2,000 & œ300) to organisation with œ700 to Council for rent",Funding was awarded to contribute towards the 1-2-1 support for children and young people who have been identified as at risk of social exclusion or offending. œ700 was deducted from the grant to pay rent charges due to Oxford City Council for 2015/16.,Grant to Donnington Doorstep Family Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0024,360G-OxfordCC-2015-16-0024,Asylum Welcome,GB-CHC-1092265,1092265,,Registered charity,7500,GBP,2015-02-12,2015/16,"3 single payments (œ5,000, œ2,000 & œ500)",Funding was awarded to support refugees and asylum seekers in Oxford.,Grant to Asylum Welcome,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0025,360G-OxfordCC-2015-16-0025,Archway Foundation,GB-CHC-299533,299533,,Registered charity,5000,GBP,2015-02-12,2015/16,"3 single payments (œ3,500, œ1,000 & œ500)","Funding was awarded to support individuals in Oxford who feel isolated, lonely and marginalised through disablist, low income or heath problems.",Grant to Archway Foundation,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0026,360G-OxfordCC-2015-16-0026,Ark T Centre,GB-CHC-1079495,1079495,,Registered charity,6811,GBP,2015-02-12,2015/16,"3 single payments (œ4,000, 32,000 & œ811)","Funding was awarded to work with 30 young people from various areas of the city to give them the opportunity to make their own music and to achieve one or more AQA accreditation, run 16 creative workshops, 4 young people mentored to run gigs in a professional venue.",Grant to Ark T Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0027,360G-OxfordCC-2015-16-0027,Blackbird Leys Adventure Playground,GB-CHC-273172,273172,,Registered charity,7500,GBP,2015-02-12,2015/16,"3 single payments (œ6,000, œ1,000 & œ500)",Funding was awarded to contribute towards the running of out of schools activities on Blackbird Leys,Grant to Blackbird Leys Adventure Playground,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0028,360G-OxfordCC-2015-16-0028,Blackbird Leys Community Development Initiative,GB-CHC-1137129,1137129,,Registered charity,7500,GBP,2015-02-12,2015/16,"3 single payments (œ5,000, œ2,000 & œ500)",Funding was awarded for the Clockhouse Project - running activities for local residents over 50 years old,Grant to Blackbird Leys Community Development Initiative,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0029,360G-OxfordCC-2015-16-0029,Community Emergency Foodbank,GB-CHC-1153907,1153907,,Registered charity,5000,GBP,2015-02-12,2015/16,"3 single payments (œ3,500, œ1,000 & œ500)",Funding was awarded to contribute towards the general running costs of the emergency food bank.,Grant to Community Emergency Foodbank,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0030,360G-OxfordCC-2015-16-0030,Cutteslowe Community Association,GB-CHC-1154860,1154860,,Registered charity,2500,GBP,2015-02-12,2015/16,"2 single payments (œ2,000 & œ500)",Funding awarded to contribute towards the costs of providing a 3 week summer play scheme for local children aged 4-11 years old on Cutteslowe,Grant to Cutteslowe Community Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0031,360G-OxfordCC-2015-16-0031,Cutteslowe Seniors,360G-OxfordCC-Cutteslowe-Seniors,,,Unregistered community group,1000,GBP,2015-02-12,2015/16,"3 single payments (œ700, œ200 & œ100)",Funding awarded to support transport costs for the most vulnerable and access for disadvantaged individuals.,Grant to Cutteslowe Seniors,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0032,360G-OxfordCC-2015-16-0032,Donnington Doorstep Family Centre,GB-CHC-1144821,1144821,,Incorporated company and registered charity,5000,GBP,2015-02-12,2015/16,"3 single payments (œ3,000, œ1,000 & œ300) to organisation with œ700 to Council for rent",Funding was awarded to contribute towards the 1-2-1 support for children and young people who have been identified as at risk of social exclusion or offending. œ700 was deducted from the grant to pay rent charges due to Oxford City Council for 2015/16.,Grant to Donnington Doorstep Family Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0033,360G-OxfordCC-2015-16-0033,Dovecote Voluntary Parent Committee,360G-OxfordCC-Dovecote-Voluntary-Parent  Committee,,,Registered charity,2750,GBP,2015-02-12,2015/16,"2 single payments (œ2,000 & œ750)",Funding awarded to contribute towards the costs to deliver after school activities.,Grant to Dovecote Voluntary Parent Committee,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0034,360G-OxfordCC-2015-16-0034,Innovista - Thrive Project,GB-CHC-1108679,1108679,,Registered charity,6000,GBP,2015-02-12,2015/16,"3 payments of œ4,000, œ1,500 & œ500",Funding awarded to run a year long intensive mentoring programme targeting 12 'high risk' young people on Barton & Sandhills.,Grant to Innovista - Thrive Project,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0035,360G-OxfordCC-2015-16-0035,Leys Community Market,360G-OxfordCC-Leys-Community-Market,,,Unregistered community group,3500,GBP,2015-02-12,2015/16,"3 single payments (œ2,000, œ1,000 & œ500)",Funding was awarded for the publicity and promotion of the community market and to deliver community market events.,Grant to Leys Community Market,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0036,360G-OxfordCC-2015-16-0036,Leys News,GB-COH-03591512,,3591512,Social enterprise not for profit limited company,10000,GBP,2015-02-12,2015/16,"3 payments of œ7,000, œ2,000 & œ1,000","Funding was awarded to support community newsletters across the city with editorial guidance, design, production and help with addressing the sustainability of their newsletters.",Grant to Leys News,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0037,360G-OxfordCC-2015-16-0037,Open Door,GB-CHC-1150626,1150626,,Registered charity,4465,GBP,2015-02-12,2015/16,"3 single payments (œ3,000, œ1,000 & œ465)",Funding was awarded to contribute towards a weekly drop in session for adult refugees and asylum seekers.,Grant to Open Door,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0038,360G-OxfordCC-2015-16-0038,Oxfordshire Cruse Bereavement Care,GB-CHC-208078,208078,,Registered charity,1700,GBP,2015-02-12,2015/16,"3 single payments (œ900, œ700 & œ100)",Funding awarded to contribute towards the initial start up costs to establish a bereavement support service in three hostels for the homeless.,Grant to Oxfordshire Cruse Bereavement Care,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0039,360G-OxfordCC-2015-16-0039,Oxfordshire Play Association,GB-CHC-276706,276706,,Registered charity,2500,GBP,2015-02-12,2015/16,"2 single payments (œ2,000 & œ500)",Funding was awarded to contribute towards an event planned to take place in Littlemore to celebrate National Paly Day.,Grant to Oxfordshire Play Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0040,360G-OxfordCC-2015-16-0040,Restore,GB-CHC-2742222,2742222,,Registered charity,3819,GBP,2015-02-12,2015/16,"2 single payments (œ3,000 & œ819)",Funding was awarded to contribute towards the costs of organising and planning the Elder Stubbs Festival due to take place in August 2014,Grant to Restore,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0041,360G-OxfordCC-2015-16-0041,South Oxford Adventure Playground,GB-CHC-270852,270852,,Registered charity,7500,GBP,2015-02-12,2015/16,"2 single payments (œ6,500 & œ1,000)",Funding was awarded to contribute towards the general running costs to provide free supervised play during the Summer school holidays.,Grant to South Oxford Adventure Playground,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0042,360G-OxfordCC-2015-16-0042,WEA - Oxford Community Branch,GB-CHC-1112775,1112775,,Registered charity,4939,GBP,2015-02-12,2015/16,"3 single payments (œ3,000, œ1,000 & œ939)",Funding was awarded to run a community arts project in Blackbird Leys and Littlemore.,Grant to WEA - Oxford Community Branch,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0043,360G-OxfordCC-2015-16-0043,Wood Farm Youth Club,360G-OxfordCC-Wood-Farm-Youth-Club,,,Unregistered community group,7000,GBP,2015-02-12,2015/16,"3 single payments (œ5,000, œ1,000 & œ1,000",Funding was awarded to contribute towards providing a Wednesday youth club for young people living on Wood Farm.,Grant to Wood Farm Youth Club,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0044,360G-OxfordCC-2016-17-0044,Archway Foundation,GB-CHC-299533,299533,,Registered charity,7500,GBP,2016-02-11,2016/17,"3 single payments (œ5,000, œ2,000 & œ500)","Funding was awarded to support individuals in Oxford who feel isolated, lonely and marginalised through disablist, low income or heath problems.",Grant to Archway Foundation,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0045,360G-OxfordCC-2016-17-0045,Asylum Welcome,GB-CHC-1092265,1092265,,Registered charity,10000,GBP,2016-02-11,2016/17,"3 single payments (œ7,000, œ2,000 & œ1,000)",Funding was awarded to support refugees and asylum seekers in Oxford.,Grant to Asylum Welcome,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0046,360G-OxfordCC-2016-17-0046,"Berkshire, Buckinghamshire  & Oxfordshire Wildlife Trust (BBOWT)",GB-CHC-204330,204330,,Registered charity,2000,GBP,2016-02-11,2016/17,"2 single payments (œ1,500 & œ500)",funding was awarded to contribute towards the 2016 Festival of Nature,"Grant to Berkshire, Buckinghamshire  & Oxfordshire Wildlife Trust (BBOWT)",GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0047,360G-OxfordCC-2016-17-0047,Blackbird Leys Adventure Playground,GB-CHC-273172,273172,,Registered charity,7500,GBP,2016-02-11,2016/17,"3 single payments (œ6,000, œ1,000 & œ500)",Funding was awarded to contribute towards the running of out of schools activities on Blackbird Leys,Grant to Blackbird Leys Adventure Playground,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0048,360G-OxfordCC-2016-17-0048,Blackbird Leys Community Development Initiative,GB-CHC-1137129,1137129,,Registered charity,7000,GBP,2016-02-11,2016/17,"3 single payments (œ5,000, œ1,500 & œ500)",Funding was awarded for the Clockhouse Project - running activities for local residents over 50 years old,Grant to Blackbird Leys Community Development Initiative,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0049,360G-OxfordCC-2016-17-0049,Community Emergency Foodbank,GB-CHC-1153907,1153907,,Registered charity,5000,GBP,2016-02-11,2016/17,"3 single payments (œ3,500, œ1,000 & œ500)",Funding was awarded to contribute towards the general running costs of the emergency food bank.,Grant to Community Emergency Foodbank,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0050,360G-OxfordCC-2016-17-0050,Cutteslowe Community Association,GB-CHC-1154860,1154860,,Registered charity,4450,GBP,2016-02-11,2016/17,"2 single payments (œ4,000 & œ450)",Funding awarded to contribute towards the costs of providing a 3 week summer play scheme for local children aged 4-11 years old on Cutteslowe,Grant to Cutteslowe Community Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0051,360G-OxfordCC-2016-17-0051,Cutteslowe Seniors,360G-OxfordCC-Cutteslowe-Seniors,,,Unregistered community group,1000,GBP,2016-02-11,2016/17,"3 single payments (œ700, œ200 & œ100)",Funding awarded to support transport costs for the most vulnerable and access for disadvantaged  individuals.,Grant to Cutteslowe Seniors,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0052,360G-OxfordCC-2016-17-0052,Dovecote Voluntary Parent Committee,360G-OxfordCC-Dovecote-Voluntary-Parent  Committee,,,unregistered community group,2500,GBP,2016-02-11,2016/17,"2 single payments (œ2,000 & œ500)",Funding awarded to contribute towards their centre based school holiday play schemes.,Grant to Dovecote Voluntary Parent Committee,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
